,,depeg_event,depeg_event,depeg_event,sol_pool_activations,sol_pool_activations,xsol_pool_activations,xsol_pool_activations,total_pool_activations,total_pool_activations
,,count,sum,mean,sum,mean,sum,mean,sum,mean
xsol_param,fee_param,,,,,,,,,
1.1,1.1,24,24,1.0,0,0.0,91,3.792,91,3.792
1.1,1.15,24,24,1.0,0,0.0,123,5.125,123,5.125
1.1,1.2,24,24,1.0,0,0.0,110,4.583,110,4.583
1.1,1.25,24,24,1.0,0,0.0,49,2.042,49,2.042
1.1,1.3,24,24,1.0,0,0.0,67,2.792,67,2.792
1.1,1.35,24,24,1.0,0,0.0,103,4.292,103,4.292
1.1,1.4,24,24,1.0,0,0.0,89,3.708,89,3.708
1.1,1.45,24,24,1.0,0,0.0,72,3.0,72,3.0
1.1,1.5,24,24,1.0,0,0.0,99,4.125,99,4.125
1.1,1.55,24,24,1.0,0,0.0,101,4.208,101,4.208
1.15,1.15,24,24,1.0,0,0.0,147,6.125,147,6.125
1.15,1.2,24,24,1.0,0,0.0,123,5.125,123,5.125
1.15,1.25,24,23,0.958,0,0.0,160,6.667,160,6.667
1.15,1.3,24,23,0.958,0,0.0,164,6.833,164,6.833
1.15,1.35,24,24,1.0,0,0.0,132,5.5,132,5.5
1.15,1.4,24,22,0.917,0,0.0,179,7.458,179,7.458
1.15,1.45,24,22,0.917,0,0.0,166,6.917,166,6.917
1.15,1.5,24,22,0.917,0,0.0,169,7.042,169,7.042
1.15,1.55,24,23,0.958,0,0.0,107,4.458,107,4.458
1.2,1.2,24,21,0.875,0,0.0,332,13.833,332,13.833
1.2,1.25,24,21,0.875,0,0.0,338,14.083,338,14.083
1.2,1.3,24,24,1.0,0,0.0,250,10.417,250,10.417
1.2,1.35,24,23,0.958,0,0.0,286,11.917,286,11.917
1.2,1.4,24,24,1.0,0,0.0,210,8.75,210,8.75
1.2,1.45,24,24,1.0,0,0.0,260,10.833,260,10.833
1.2,1.5,24,23,0.958,0,0.0,235,9.792,235,9.792
1.2,1.55,24,23,0.958,0,0.0,214,8.917,214,8.917
1.25,1.25,24,17,0.708,0,0.0,675,28.125,675,28.125
1.25,1.3,24,14,0.583,0,0.0,637,26.542,637,26.542
1.25,1.35,24,12,0.5,0,0.0,698,29.083,698,29.083
1.25,1.4,24,11,0.458,0,0.0,672,28.0,672,28.0
1.25,1.45,24,13,0.542,0,0.0,607,25.292,607,25.292
1.25,1.5,24,7,0.292,0,0.0,653,27.208,653,27.208
1.25,1.55,24,15,0.625,0,0.0,556,23.167,556,23.167
1.3,1.3,24,0,0.0,0,0.0,927,38.625,927,38.625
1.3,1.35,24,0,0.0,0,0.0,980,40.833,980,40.833
1.3,1.4,24,0,0.0,0,0.0,910,37.917,910,37.917
1.3,1.45,24,0,0.0,0,0.0,885,36.875,885,36.875
1.3,1.5,24,0,0.0,0,0.0,773,32.208,773,32.208
1.3,1.55,24,0,0.0,0,0.0,784,32.667,784,32.667
1.35,1.35,24,0,0.0,0,0.0,988,41.167,988,41.167
1.35,1.4,24,0,0.0,0,0.0,999,41.625,999,41.625
1.35,1.45,24,0,0.0,0,0.0,870,36.25,870,36.25
1.35,1.5,24,0,0.0,0,0.0,921,38.375,921,38.375
1.35,1.55,24,0,0.0,0,0.0,829,34.542,829,34.542
1.4,1.4,24,0,0.0,0,0.0,977,40.708,977,40.708
1.4,1.45,24,0,0.0,0,0.0,984,41.0,984,41.0
1.4,1.5,24,0,0.0,0,0.0,999,41.625,999,41.625
1.4,1.55,24,0,0.0,0,0.0,956,39.833,956,39.833
1.45,1.45,24,0,0.0,0,0.0,1183,49.292,1183,49.292
1.45,1.5,24,0,0.0,0,0.0,1027,42.792,1027,42.792
1.45,1.55,24,0,0.0,0,0.0,1005,41.875,1005,41.875
1.5,1.5,24,0,0.0,0,0.0,1242,51.75,1242,51.75
1.5,1.55,24,0,0.0,0,0.0,1106,46.083,1106,46.083
1.55,1.55,24,0,0.0,0,0.0,1306,54.417,1306,54.417
